invoice_no,customer_id,gender,age,category,quantity,price,payment_method,invoice_date,shopping_mall,total_spent,year_month,age_group
I138884,C241288,Female,28,Clothing,5,1500.4,Credit Card,08/05/2022,Kanyon,7502,2022-05,26-40
I317333,C111565,Male,21,Shoes,3,1800.51,Debit Card,12/12/2021,Forum Istanbul,5401.53,2021-12,18-25
I127801,C266599,Male,20,Clothing,1,300.08,Cash,11/09/2021,Metrocity,300.08,2021-09,18-25
I293455,C159642,Male,69,Clothing,3,900.24,Credit Card,11/04/2021,Metrocity,2700.72,2021-04,60+
I336189,C555402,Female,67,Clothing,2,600.16,Credit Card,06/03/2022,Kanyon,1200.32,2022-03,60+
I688768,C362288,Male,24,Shoes,5,3000.85,Credit Card,11/07/2021,Viaport Outlet,15004.25,2021-07,18-25
I195744,C330667,Female,42,Food & Beverage,3,15.69,Credit Card,01/05/2022,Zorlu Center,47.07,2022-05,41-60
I992454,C196845,Male,24,Toys,4,143.36,Cash,03/07/2023,Cevahir AVM,573.44,2023-07,18-25
I412481,C125696,Female,27,Food & Beverage,1,5.23,Cash,05/01/2021,Cevahir AVM,5.23,2021-01,26-40
I217053,C192344,Male,50,Shoes,4,2400.68,Cash,10/10/2022,Emaar Square Mall,9602.72,2022-10,41-60
I161949,C159164,Female,66,Toys,3,107.52,Debit Card,07/04/2022,Mall of Istanbul,322.56,2022-04,60+
I109053,C232624,Male,51,Clothing,4,1200.32,Debit Card,07/11/2021,Metrocity,4801.28,2021-11,41-60
I339732,C276887,Male,68,Food & Beverage,1,5.23,Credit Card,01/04/2023,Emaar Square Mall,5.23,2023-04,60+
I187519,C450287,Female,59,Clothing,2,600.16,Credit Card,07/08/2022,Metrocity,1200.32,2022-08,41-60
I246550,C716788,Female,49,Food & Beverage,3,15.69,Cash,09/10/2021,Zorlu Center,47.07,2021-10,41-60
I117291,C134449,Male,46,Books,5,75.75,Credit Card,12/09/2022,Zorlu Center,378.75,2022-09,41-60
I267193,C317818,Female,19,Cosmetics,3,121.98,Credit Card,01/12/2023,Mall of Istanbul,365.94,2023-12,18-25
I205366,C241642,Female,43,Clothing,4,1200.32,Debit Card,11/07/2022,Zorlu Center,4801.28,2022-07,41-60
I269690,C126436,Male,18,Cosmetics,3,121.98,Debit Card,02/07/2022,Zorlu Center,365.94,2022-07,18-25
I664787,C237330,Female,53,Cosmetics,2,81.32,Credit Card,01/12/2023,Istinye Park,162.64,2023-12,41-60
I137794,C133687,Female,45,Food & Beverage,3,15.69,Debit Card,03/12/2021,Viaport Outlet,47.07,2021-12,41-60
I148377,C841663,Female,29,Clothing,1,300.08,Cash,01/02/2022,Istinye Park,300.08,2022-02,26-40
I133061,C336576,Male,64,Clothing,5,1500.4,Credit Card,06/09/2022,Mall of Istanbul,7502,2022-09,60+
I209289,C439382,Female,33,Clothing,4,1200.32,Credit Card,02/05/2021,Kanyon,4801.28,2021-05,26-40
I157285,C123427,Male,66,Clothing,4,1200.32,Cash,03/06/2022,Mall of Istanbul,4801.28,2022-06,60+
I218590,C224743,Female,29,Cosmetics,4,162.64,Debit Card,05/09/2022,Metropol AVM,650.56,2022-09,26-40
I402376,C309926,Male,34,Shoes,5,3000.85,Cash,09/10/2022,Forum Istanbul,15004.25,2022-10,26-40
I251356,C493252,Female,47,Cosmetics,4,162.64,Cash,09/04/2021,Kanyon,650.56,2021-04,41-60
I276526,C136117,Female,57,Shoes,5,3000.85,Debit Card,10/02/2021,Emaar Square Mall,15004.25,2021-02,41-60
I260525,C258404,Male,67,Toys,3,107.52,Cash,01/07/2023,Emaar Square Mall,322.56,2023-07,60+
I870944,C169749,Male,41,Souvenir,3,35.19,Credit Card,06/08/2021,Cevahir AVM,105.57,2021-08,41-60
I115870,C135790,Female,69,Shoes,4,2400.68,Cash,09/04/2021,Metrocity,9602.72,2021-04,60+
I306076,C679476,Male,40,Toys,2,71.68,Cash,11/01/2022,Emaar Square Mall,143.36,2022-01,26-40
I321683,C542025,Male,60,Cosmetics,4,162.64,Credit Card,01/06/2023,Metrocity,650.56,2023-06,41-60
I340014,C169650,Female,66,Clothing,2,600.16,Credit Card,09/08/2022,Istinye Park,1200.32,2022-08,60+
I253242,C309438,Male,26,Shoes,5,3000.85,Cash,04/07/2022,Mall of Istanbul,15004.25,2022-07,26-40
I108359,C253905,Male,66,Food & Beverage,1,5.23,Cash,06/07/2022,Mall of Istanbul,5.23,2022-07,60+
I722319,C157070,Female,59,Toys,1,35.84,Debit Card,10/03/2021,Kanyon,35.84,2021-03,41-60
I154469,C807389,Female,29,Toys,3,107.52,Debit Card,06/03/2021,Mall of Istanbul,322.56,2021-03,26-40
I153930,C567813,Male,39,Food & Beverage,3,15.69,Cash,08/09/2022,Forum Istanbul,47.07,2022-09,26-40
I869144,C181972,Female,26,Food & Beverage,4,20.92,Debit Card,05/04/2021,Mall of Istanbul,83.68,2021-04,26-40
I256691,C152549,Male,24,Cosmetics,1,40.66,Cash,02/04/2022,Metrocity,40.66,2022-04,18-25
I796162,C111832,Female,30,Food & Beverage,5,26.15,Credit Card,01/06/2022,Metrocity,130.75,2022-06,26-40
I224371,C204174,Male,34,Clothing,5,1500.4,Credit Card,02/01/2022,Mall of Istanbul,7502,2022-01,26-40
I293215,C166635,Male,18,Cosmetics,4,162.64,Credit Card,12/12/2021,Istinye Park,650.56,2021-12,18-25
I109649,C282643,Female,19,Food & Beverage,3,15.69,Debit Card,10/08/2021,Emaar Square Mall,47.07,2021-08,18-25
I147334,C306395,Male,35,Clothing,2,600.16,Cash,01/12/2022,Viaport Outlet,1200.32,2022-12,26-40
I278121,C885344,Female,60,Toys,4,143.36,Debit Card,06/07/2021,Metrocity,573.44,2021-07,41-60
I320846,C274870,Male,27,Clothing,4,1200.32,Credit Card,11/11/2021,Kanyon,4801.28,2021-11,26-40
I133387,C271799,Female,60,Toys,4,143.36,Cash,06/07/2021,Forum Istanbul,573.44,2021-07,41-60
I219780,C658980,Female,29,Clothing,2,600.16,Cash,10/08/2021,Kanyon,1200.32,2021-08,26-40
I160221,C319231,Male,25,Clothing,3,900.24,Cash,08/01/2022,Mall of Istanbul,2700.72,2022-01,18-25
I106691,C150594,Female,60,Clothing,4,1200.32,Cash,09/09/2021,Kanyon,4801.28,2021-09,41-60
I304531,C263874,Male,54,Clothing,1,300.08,Debit Card,04/07/2021,Metropol AVM,300.08,2021-07,41-60
I762439,C663463,Female,45,Books,4,60.6,Cash,12/05/2021,Metrocity,242.4,2021-05,41-60
I151588,C310642,Male,24,Books,3,45.45,Credit Card,04/12/2022,Metrocity,136.35,2022-12,18-25
I215279,C223343,Female,31,Clothing,2,600.16,Credit Card,02/01/2023,Kanyon,1200.32,2023-01,26-40
I216061,C309082,Female,61,Food & Beverage,3,15.69,Credit Card,10/05/2022,Mall of Istanbul,47.07,2022-05,60+
I103596,C178734,Male,52,Shoes,5,3000.85,Cash,08/03/2021,Kanyon,15004.25,2021-03,41-60
I259878,C223010,Male,44,Clothing,4,1200.32,Credit Card,10/12/2022,Metropol AVM,4801.28,2022-12,41-60
I201704,C340116,Female,53,Food & Beverage,3,15.69,Cash,07/12/2021,Metrocity,47.07,2021-12,41-60
I168037,C816586,Male,27,Toys,4,143.36,Cash,07/03/2021,Mall of Istanbul,573.44,2021-03,26-40
I141241,C143442,Male,54,Souvenir,5,58.65,Credit Card,04/11/2022,Kanyon,293.25,2022-11,41-60
I222086,C978718,Male,37,Clothing,5,1500.4,Cash,02/09/2023,Emaar Square Mall,7502,2023-09,26-40
I601026,C693789,Female,66,Souvenir,5,58.65,Credit Card,03/05/2022,Zorlu Center,293.25,2022-05,60+
I257890,C259342,Female,59,Shoes,1,600.17,Cash,10/05/2021,Kanyon,600.17,2021-05,41-60
I402966,C375422,Male,23,Cosmetics,4,162.64,Debit Card,10/02/2021,Viaport Outlet,650.56,2021-02,18-25
I244241,C911768,Female,23,Clothing,5,1500.4,Credit Card,08/03/2022,Viaport Outlet,7502,2022-03,18-25
I328321,C271029,Female,38,Souvenir,2,23.46,Credit Card,02/12/2021,Metropol AVM,46.92,2021-12,26-40
I417106,C292356,Male,28,Clothing,3,900.24,Cash,04/03/2021,Cevahir AVM,2700.72,2021-03,26-40
I248153,C329633,Female,44,Food & Beverage,1,5.23,Cash,07/03/2022,Metropol AVM,5.23,2022-03,41-60
I258322,C220281,Male,50,Clothing,4,1200.32,Cash,07/12/2021,Viaport Outlet,4801.28,2021-12,41-60
I409288,C513561,Female,56,Food & Beverage,3,15.69,Cash,03/02/2021,Viaport Outlet,47.07,2021-02,41-60
I149521,C168348,Female,29,Clothing,2,600.16,Cash,11/04/2021,Kanyon,1200.32,2021-04,26-40
I156233,C161285,Female,20,Clothing,1,300.08,Credit Card,01/11/2023,Mall of Istanbul,300.08,2023-11,18-25
I295784,C166191,Female,54,Cosmetics,3,121.98,Credit Card,06/08/2022,Forum Istanbul,365.94,2022-08,41-60
I219555,C266961,Male,47,Clothing,3,900.24,Credit Card,09/10/2021,Metrocity,2700.72,2021-10,41-60
I246151,C287409,Male,25,Books,3,45.45,Debit Card,07/05/2021,Metropol AVM,136.35,2021-05,18-25
I606511,C307535,Female,37,Souvenir,2,23.46,Credit Card,09/09/2022,Viaport Outlet,46.92,2022-09,26-40
I342816,C238961,Female,19,Food & Beverage,2,10.46,Cash,11/04/2021,Mall of Istanbul,20.92,2021-04,18-25
I160585,C298229,Male,26,Cosmetics,2,81.32,Cash,02/05/2022,Metropol AVM,162.64,2022-05,26-40
I771414,C183404,Male,63,Food & Beverage,3,15.69,Cash,12/09/2022,Forum Istanbul,47.07,2022-09,60+
I798213,C662958,Female,20,Shoes,3,1800.51,Cash,01/03/2021,Metropol AVM,5401.53,2021-03,18-25
I525798,C581947,Male,46,Cosmetics,4,162.64,Cash,02/03/2023,Mall of Istanbul,650.56,2023-03,41-60
I165687,C206501,Female,61,Clothing,3,900.24,Cash,12/08/2022,Metropol AVM,2700.72,2022-08,60+
I169015,C726021,Female,38,Clothing,5,1500.4,Credit Card,08/11/2022,Mall of Istanbul,7502,2022-11,26-40
I148276,C616106,Female,63,Clothing,4,1200.32,Debit Card,12/07/2022,Zorlu Center,4801.28,2022-07,60+
I783231,C771066,Female,21,Clothing,5,1500.4,Debit Card,01/05/2022,Cevahir AVM,7502,2022-05,18-25
I313426,C101196,Female,41,Cosmetics,4,162.64,Debit Card,04/05/2022,Kanyon,650.56,2022-05,41-60
I112291,C898405,Female,48,Food & Beverage,1,5.23,Credit Card,01/10/2022,Cevahir AVM,5.23,2022-10,41-60
I428118,C826744,Female,44,Shoes,2,1200.34,Credit Card,01/12/2023,Kanyon,2400.68,2023-12,41-60
I204147,C252021,Female,20,Shoes,3,1800.51,Credit Card,11/05/2022,Kanyon,5401.53,2022-05,18-25
I165461,C230766,Female,25,Clothing,1,300.08,Credit Card,11/01/2022,Emaar Square Mall,300.08,2022-01,18-25
I215578,C866033,Male,39,Cosmetics,2,81.32,Credit Card,08/04/2022,Kanyon,162.64,2022-04,26-40
I136666,C288416,Male,50,Food & Beverage,2,10.46,Credit Card,04/01/2021,Mall of Istanbul,20.92,2021-01,41-60
I120948,C340089,Female,54,Shoes,4,2400.68,Debit Card,08/08/2021,Mall of Istanbul,9602.72,2021-08,41-60
I723062,C225051,Female,42,Clothing,4,1200.32,Credit Card,08/12/2022,Kanyon,4801.28,2022-12,41-60
I321920,C165705,Male,27,Clothing,4,1200.32,Cash,06/08/2021,Mall of Istanbul,4801.28,2021-08,26-40
I224565,C321527,Male,61,Shoes,1,600.17,Cash,02/07/2021,Emaar Square Mall,600.17,2021-07,60+
I119809,C321889,Female,24,Food & Beverage,1,5.23,Debit Card,04/06/2022,Zorlu Center,5.23,2022-06,18-25
I112481,C321609,Male,29,Food & Beverage,5,26.15,Cash,07/07/2021,Cevahir AVM,130.75,2021-07,26-40
I139308,C252600,Female,59,Souvenir,2,23.46,Credit Card,04/06/2022,Emaar Square Mall,46.92,2022-06,41-60
I177201,C309645,Female,66,Clothing,5,1500.4,Cash,02/04/2022,Forum Istanbul,7502,2022-04,60+
I207465,C296745,Female,27,Clothing,2,600.16,Cash,10/10/2022,Istinye Park,1200.32,2022-10,26-40
I159487,C104985,Male,36,Clothing,1,300.08,Cash,07/09/2021,Emaar Square Mall,300.08,2021-09,26-40
